"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\me\Desktop\React\learning_projects\productivity-app\src\App.css", "CSS", 0, 36, 0, 7, 43
"c:\Users\me\Desktop\React\learning_projects\productivity-app\src\App.js", "JavaScript", 14, 0, 0, 0, 14
"c:\Users\me\Desktop\React\learning_projects\productivity-app\src\firebase-config.js", "JavaScript", 15, 0, 0, 2, 17
"c:\Users\me\Desktop\React\learning_projects\productivity-app\src\hooks\UseLocalStorage.js", "JavaScript", 21, 0, 0, 5, 26
"c:\Users\me\Desktop\React\learning_projects\productivity-app\src\hooks\useWindowSize.js", "JavaScript", 14, 0, 0, 2, 16
"c:\Users\me\Desktop\React\learning_projects\productivity-app\src\index.js", "JavaScript", 3, 0, 0, 0, 3
"c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\Dashboard.js", "JavaScript", 6, 0, 0, 1, 7
"c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\GoalsPage.js", "JavaScript", 7, 0, 0, 2, 9
"c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\Home.js", "JavaScript", 20, 0, 0, 0, 20
"c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\Login.js", "JavaScript", 38, 0, 0, 2, 40
"c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\NotFound.js", "JavaScript", 16, 0, 0, 2, 18
"c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\ProjectsPage.js", "JavaScript", 7, 0, 0, 2, 9
"c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\Register.js", "JavaScript", 59, 0, 0, 3, 62
"c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\TimersPage.js", "JavaScript", 7, 0, 0, 2, 9
"c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\TodayPage.js", "JavaScript", 7, 0, 0, 2, 9
"c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\UpcomingPage.js", "JavaScript", 7, 0, 0, 2, 9
"c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\Box.js", "JavaScript", 7, 0, 0, 2, 9
"c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\HomeHeader.js", "JavaScript", 23, 0, 0, 2, 25
"c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\PageLayout\Header.js", "JavaScript", 29, 0, 0, 4, 33
"c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\PageLayout\PageLayout.js", "JavaScript", 20, 0, 0, 3, 23
"c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\PageLayout\Sidebar.js", "JavaScript", 128, 0, 0, 5, 133
"c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\PageLayout\SidebarItem.js", "JavaScript", 64, 0, 0, 5, 69
"c:\Users\me\Desktop\React\learning_projects\productivity-app\src\providers\AllProviders.js", "JavaScript", 10, 0, 0, 2, 12
"c:\Users\me\Desktop\React\learning_projects\productivity-app\src\providers\AuthProvider.js", "JavaScript", 32, 0, 0, 7, 39
"c:\Users\me\Desktop\React\learning_projects\productivity-app\src\utility-components\ChangeThemeButton.js", "JavaScript", 45, 0, 0, 2, 47
"Total", "-", 599, 36, 0, 66, 701